SUPPLIER,Mechanical/Electrical,SUPPLIER PART#,8-DIGIT,DESCRIPTION,FROM PROJECT:,DATE,Cycle Count Date,QTY, NET PRICE , TOTAL ,LOCATION
ALFA LAVAL,Mechanical,9613361084,,"UNIQUE SSV, 7610111SM2H301SRSSESNNN",,5/1/2024,,5,, $-   ,F&B Rack
ALFA LAVAL,Mechanical,9634101045,,"UNIQUE RV-ST, 7711200SM2H201SRSLE8NNN",,5/1/2024,,1,, $-   ,F&B Rack
ALFA LAVAL,Mechanical,9613361082,,"UNIQUE SSV, 7610111SM2H201SRSSESNNN",,5/1/2024,,1,, $-   ,F&B Rack
ALFA LAVAL,Mechanical,9613361002,,"UNIQUE SSV, 7610200SM2H202SRSSESNNN",,5/1/2024,,2,, $-   ,F&B Rack
BURKERT,Electrical,368306,,"8802-GD-I-A-80,0SS-VA-FA09-P-0-E-0-I-0-0",,5/1/2024,,4,, $-   ,F&B Rack
AMPCO,Mechanical,AL30-SF02-SS,,"SHAFT, 33, SHORT, SS AL",,5/1/2024,,2,, $-   ,F&B Rack
AMPCO,Mechanical,AL30-SP01-SS-04,,"SHIM, 33/34, 0.004"", AL",,5/1/2024,,2,, $-   ,F&B Rack
OPTEK,Electrical,3405-0011-1122-05,,"SENSOR, AS56-N OPLO5-40",,5/1/2024,,2,, $-   ,F&B Rack
OPTEK,Electrical,,,"SENSOR ADAPTOR, AS25-G60",,5/1/2024,,2,, $-   ,F&B Rack
OPTEK,Electrical,1201-3401-0001-00,,SENSOR INSTALLATION KIT- A5,,5/1/2024,,2,, $-   ,F&B Rack
GRUNDFOS,Mechanical,A-GJ-A-V-HQQV,,"PUMP, 5HP, 3X208-230/460V 60HZ, IP55",,5/1/2024,,1,, $-   ,F&B Rack
GRUNDFOS,Mechanical,99164187,,Pump DD 120-7 FCM,,5/3/2024,,1,, $-   ,CR-C6-S1
AB,,1783-US8T,,,,5/3/2024,,2,, $-   ,CR-C6-S5
AB,,1494U-HS1,,,,5/3/2024,,1,, $-   ,CR-C6-S5
AB,,1756-PA75   SER B,,,,5/3/2024,,1,, $-   ,CR-C6-S6
PULS,Electrical,1736-1019-ND,,"POWER SUPPLY INPUT,3AC 380-480 V, OUTPUT, DC 24-28, 20A",,5/3/2024,,1,, $-   ,CR-C6-S5
AB,,1756-TBCH/A,,,,5/3/2024,,1,, $-   ,CR-C6-S5
IFM,Electrical,US0043,,,,5/3/2024,,3,, $-   ,CR-C6-S5
IFM,Electrical,E40228,,,,5/3/2024,,1,, $-   ,CR-C6-S5
OHM-RANGER,Electrical,3420,,OHM-RANGER,,5/3/2024,,1,, $-   ,CR-C6-S5
AB,,1756-A7,,,,5/3/2024,,1,, $-   ,CR-C6-S6
,,,,,,,,,, $-   ,
